name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
unit-mesh,https://github.com/unit-mesh/unit-mesh,185,17,Kotlin,unit-mesh,Unit Mesh is a Asymptotic AI programming architecture pattern. Unit Mesh 是一个基于 AIGC/GenAI 为核心思想的软件架构,2024-03-06T09:09:34Z,2023-03-23T05:29:38Z,0
FindTravelNow-KMM,https://github.com/mirzemehdi/FindTravelNow-KMM,184,23,Kotlin,mirzemehdi,FindTravelNow - metasearch travel application that is available both in iOS and Android store developed with Kotlin Multiplatform + Compose Multiplatform.,2024-08-14T22:25:37Z,2023-09-29T18:33:15Z,7
Shkiper,https://github.com/Efimj/Shkiper,184,7,Kotlin,Efimj,Android modern notepad,2024-08-21T13:09:22Z,2023-04-05T07:41:16Z,14
NesEmulator,https://github.com/Beseting/NesEmulator,184,19,Kotlin,Beseting,"Android nes emulator library(Nes/FC/Nintendo game),For fast develop nes emulator useage.",2023-02-24T04:03:22Z,2023-02-10T02:42:28Z,4
xef,https://github.com/xebia-functional/xef,183,15,Kotlin,xebia-functional,"Building applications with LLMs through composability, in Kotlin",2024-10-14T08:52:02Z,2023-04-18T09:00:36Z,35
MahsaNG,https://github.com/MrAli-Code/MahsaNG,183,15,Kotlin,MrAli-Code,,2024-02-06T05:31:44Z,2024-02-06T05:31:29Z,0
ZeroToHeroAndroidTDD,https://github.com/JohnnySC/ZeroToHeroAndroidTDD,183,292,Kotlin,JohnnySC,Learn Android by solving TDD tasks,2024-09-13T11:24:52Z,2023-10-18T09:41:27Z,0
app-sizer,https://github.com/grab/app-sizer,182,9,Kotlin,grab,A tool designed to analyze the download size of Android applications. Provides detailed insights into app binary composition through a Gradle plugin and CLI tool to help developers optimize app size and improve user acquisition.,2025-03-12T01:33:33Z,2024-08-20T08:07:12Z,1
OctoMeter,https://github.com/ryanw-mobile/OctoMeter,181,15,Kotlin,ryanw-mobile,🔥Kotlin Multiplatform Desktop/Android/iOS Energy Tracker app,2025-03-21T07:01:41Z,2024-05-01T21:55:00Z,19
my-tv-1,https://github.com/lizongying/my-tv-1,180,27,Kotlin,lizongying,我的電視·一 電視視頻播放軟件，支持播放網頁視頻,2025-03-05T11:21:14Z,2024-05-12T23:39:12Z,11
jetpack-compose-design-patterns,https://github.com/meticha/jetpack-compose-design-patterns,180,10,Kotlin,meticha,"This repository showcases various design patterns implemented in Jetpack Compose, highlighting their use cases and integration with modern Android development.",2025-01-14T15:40:35Z,2024-12-28T16:40:46Z,1
miuix,https://github.com/miuix-kotlin-multiplatform/miuix,180,14,Kotlin,miuix-kotlin-multiplatform,A UI library for Compose MultiPlatform,2025-03-21T07:17:23Z,2024-08-06T09:36:19Z,0
hackernews,https://github.com/EmergeTools/hackernews,180,15,Kotlin,EmergeTools,A simple Hackernews client for Android and iOS,2025-03-21T07:16:22Z,2023-08-24T17:47:37Z,8
WeatherApp,https://github.com/odaridavid/WeatherApp,179,35,Kotlin,odaridavid,"☁️ ❄️ A KMP weather app built with Jetpack Compose , MVI , Unit Testing , Hilt and Location Services, Github Actions, Firebase + Material 3",2025-03-20T08:04:44Z,2023-02-02T23:33:29Z,21
