name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
CodegenDemo,https://github.com/hawkab/CodegenDemo,202,33,Java,hawkab,"🚀 Effortlessly generate a Spring WebClient from any RestController! Simplify integrations, reduce boilerplate, and speed up development. Check it out!",2025-01-31T07:16:39Z,2025-01-29T12:39:53Z,0
food-ordering-system,https://github.com/agelenler/food-ordering-system,201,141,Java,agelenler,"Food ordering system application in Udemy course: Microservices: Clean Architecture, DDD, SAGA, Outbox & Kafka",2025-01-02T22:18:42Z,2023-08-29T22:00:20Z,1
siam-cloud,https://github.com/siam1026/siam-cloud,201,43,Java,siam1026,暹罗外卖是一款Java外卖配送系统，适用于多商户入驻，对标美团外卖、饿了么。该系统包含用户端、商家端、配送端以及总管理后台，美食下单、外卖配送和扫码点餐等核心功能，同时提供积分商城、会员中心和邀请好友注册返现等增值服务，以拓展客源。未来可进一步开发同城配送跑腿等功能。基于 Spring Cloud & Alibaba + Vue & Element + uni-app 技术栈进行开发；,2024-12-02T16:40:30Z,2023-10-26T10:45:10Z,0
knockback-sync,https://github.com/CASELOAD7000/knockback-sync,200,30,Java,CASELOAD7000,Synchronizes player knockback for smoother gameplay.,2025-01-20T03:45:47Z,2024-01-18T02:52:37Z,1
dive-into-spring-ai,https://github.com/qifan777/dive-into-spring-ai,200,62,Java,qifan777,《动手学SpringAI》包含SSE流/Agent智能体/知识图谱RAG/FunctionCall/历史消息/图片生成/图片理解/Embedding/VectorDatabase/RAG,2025-03-20T11:23:21Z,2024-06-15T14:36:34Z,2
whisperIME,https://github.com/woheller69/whisperIME,199,9,Java,woheller69,Android Input Method Editor (IME) based on Whisper,2025-03-21T06:23:59Z,2024-12-30T09:55:23Z,3
PostmanTesting,https://github.com/PavelMal/PostmanTesting,199,0,Java,PavelMal,It's an app for QA to practise testing,2023-09-02T05:05:09Z,2023-08-03T07:47:00Z,0
spring-ai-examples,https://github.com/habuma/spring-ai-examples,198,59,Java,habuma,Examples of using Spring AI.,2025-03-15T03:08:29Z,2024-01-25T23:14:13Z,1
medTimer,https://github.com/Futsch1/medTimer,198,16,Java,Futsch1,MedTimer Android app,2025-03-20T07:44:07Z,2024-01-19T17:13:09Z,16
oci-start,https://github.com/doubleDimple/oci-start,198,38,Java,doubleDimple,,2025-03-18T05:42:56Z,2024-09-20T23:56:12Z,11
wechat-bc,https://github.com/meteorOSS/wechat-bc,197,20,Java,meteorOSS,类似开发公众号一样，开发个人微信号,2024-05-13T21:23:15Z,2024-01-31T12:24:00Z,12
coding-interview-patterns,https://github.com/ByteByteGoHq/coding-interview-patterns,196,63,Java,ByteByteGoHq,,2025-02-26T11:14:54Z,2024-11-13T21:40:01Z,0
APIFinderPlus,https://github.com/winezer0/APIFinderPlus,196,7,Java,winezer0,目标是成为当下最完善的API挖掘工具，实现自动提取响应敏感信息、URI信息，并且对URI进行自动|手动递归检查,2025-01-07T04:58:06Z,2024-06-03T04:40:09Z,2
ddpoker,https://github.com/dougdonohoe/ddpoker,196,20,Java,dougdonohoe,DD Poker Source Code,2025-03-21T19:47:46Z,2024-08-13T12:45:14Z,0
app-store-server-library-java,https://github.com/apple/app-store-server-library-java,195,45,Java,apple,,2025-03-17T02:57:41Z,2023-05-31T00:34:10Z,2
CustTermux,https://github.com/siddharthsky/CustTermux,194,18,Java,siddharthsky,Fork of the Termux to run TV,2025-02-18T18:34:45Z,2024-07-09T17:10:40Z,4
FreeVPN-App-Flutter,https://github.com/HarshAndroid/FreeVPN-App-Flutter,193,68,Java,HarshAndroid,Free Vpn App Made with OpenVPN Protocol & Flutter and Dart.,2024-10-13T16:00:59Z,2023-05-10T15:45:36Z,1
DroidFrida,https://github.com/ac3ss0r/DroidFrida,193,31,Java,ac3ss0r,Portable frida injector for rooted android devices.,2023-07-24T17:20:09Z,2023-05-05T12:06:37Z,5
