name,url,stars,forks,language,owner,description,pushed_at,created_at,open_issues
langchain-ui,https://github.com/homanp/langchain-ui,900,164,JavaScript,homanp,🧬 The open source chat-ai toolkit,2023-08-28T22:00:23Z,2023-03-21T22:51:00Z,18
food-delivery-multivendor,https://github.com/enatega/food-delivery-multivendor,893,319,JavaScript,enatega,"Enatega is a fully realized and customizable food delivery application that can be used to set up your own order/delivery management system. For more information, visit the Enatega product page: 🚀🛒📦🌐 ",2025-03-21T10:05:59Z,2023-02-23T09:19:22Z,23
cloudflare-proxy,https://github.com/barretlee/cloudflare-proxy,888,112,JavaScript,barretlee,Cloudflare Worker 代理请求 ChatGPT API，支持 Stream 流式输出,2023-08-04T02:37:43Z,2023-04-03T02:57:29Z,3
openai-realtime-api-beta,https://github.com/openai/openai-realtime-api-beta,886,265,JavaScript,openai,Node.js + JavaScript reference client for the Realtime API (beta),2024-11-07T22:51:02Z,2024-09-30T21:11:38Z,59
DeleteTweets,https://github.com/Lyfhael/DeleteTweets,878,308,JavaScript,Lyfhael,Delete / Remove all your tweets,2024-08-10T19:58:41Z,2023-08-24T04:44:12Z,50
Home-Assistant-Config,https://github.com/maxi1134/Home-Assistant-Config,866,50,JavaScript,maxi1134,This is my Smart-home Installation repository,2025-03-19T14:35:26Z,2023-02-11T20:29:03Z,10
Eshop-tutorial,https://github.com/shahriarsajeeb/Eshop-tutorial,865,300,JavaScript,shahriarsajeeb,,2023-11-09T07:25:10Z,2023-03-09T02:18:19Z,15
FacePoke,https://github.com/jbilcke-hf/FacePoke,860,90,JavaScript,jbilcke-hf,"Select a portrait, click to move the head around (please use your own space / GPU!)",2025-03-05T23:33:41Z,2024-10-04T23:28:29Z,12
LazyCat-Bookmark-Cleaner,https://github.com/Alanrk/LazyCat-Bookmark-Cleaner,854,38,JavaScript,Alanrk,让书签管理变得轻松愉快！一只可爱的懒猫助手，帮你智能清理和整理浏览器书签。,2025-03-15T06:15:15Z,2024-12-29T12:44:29Z,4
spectral.js,https://github.com/rvanwijnen/spectral.js,851,20,JavaScript,rvanwijnen,Spectral.js is a paint like color mixing library utilizing the Kubelka-Munk theory.,2024-09-25T12:05:53Z,2023-04-03T20:52:31Z,7
boss-show-time,https://github.com/tangzhiyao/boss-show-time,850,30,JavaScript,tangzhiyao,展示boss直聘岗位的发布时间,2025-01-28T04:34:57Z,2024-04-25T08:24:49Z,11
c-shopping-rn,https://github.com/huanghanzhilian/c-shopping-rn,849,140,JavaScript,huanghanzhilian,This is a complete App developed by React Native (Expo). It is a beautiful e-commerce shopping application. 这个是一个React Native(Expo) 开发的完整App应用，是一个精美的电商购物应用。,2025-02-26T15:43:17Z,2024-01-28T15:15:06Z,1
obsidian-example-lifeos,https://github.com/quanru/obsidian-example-lifeos,848,61,JavaScript,quanru,Obsidian Template for combining P.A.R.A with Periodic Notes(LifeOS for Obsidian),2025-01-25T08:56:00Z,2023-06-18T09:26:32Z,1
am-cf-tunnel,https://github.com/amclubs/am-cf-tunnel,848,1132,JavaScript,amclubs,"这是一个基于 Cloudflare Workers 和 Pages平台的脚本,通过EDtunnel修改，使用该脚本可以自动生成VLESS免费节点,并配置信息使用在线配置转换到 Clash、 Singbox 、Quantumult X等工具中。",2025-03-10T07:42:35Z,2024-10-13T06:14:45Z,0
tweetXer,https://github.com/lucahammer/tweetXer,847,35,JavaScript,lucahammer,Delete all your Tweets for free,2025-02-04T09:39:24Z,2023-10-12T12:43:36Z,7
chrome-for-testing,https://github.com/GoogleChromeLabs/chrome-for-testing,844,104,JavaScript,GoogleChromeLabs,,2025-03-21T19:09:44Z,2023-04-25T21:22:15Z,28
